Head to head statistics:

 1) Stockfish 16.1     3804.5 :   9792 (+4057,=5703,-32),  70.6 %

    vs.                       :  games (    +,    =,  -),   (%) :    Diff,    SD, CFS (%)
    Komodo Dragon 3.3         :    890 (  136,  745,  9),  57.1 :   +47.3,   3.7,  100.0
    Berserk 13                :    890 (  154,  728,  8),  58.2 :   +48.2,   3.8,  100.0
    RubiChess 20240817        :    890 (  230,  654,  6),  62.6 :   +94.4,   3.5,  100.0
    Ethereal 14.25            :    890 (  272,  617,  1),  65.2 :  +108.6,   3.8,  100.0
    Koivisto 9.0              :    890 (  366,  521,  3),  70.4 :  +147.9,   3.7,  100.0
    Rebel 16.3                :    890 (  323,  565,  2),  68.0 :  +154.5,   3.6,  100.0
    rofChade 3.1              :    890 (  392,  496,  2),  71.9 :  +165.8,   3.7,  100.0
    SlowChess 2.9             :    890 (  537,  353,  0),  80.2 :  +239.6,   3.5,  100.0
    Shredder 14               :    890 (  524,  366,  0),  79.4 :  +239.7,   3.7,  100.0
    Arasan 24.2.2             :    891 (  543,  348,  0),  80.5 :  +240.1,   3.6,  100.0
    Minic 3.41                :    891 (  580,  310,  1),  82.5 :  +276.6,   3.5,  100.0

 2) Komodo Dragon 3.3  3757.2 :   9791 (+3073,=6446,-272),  64.3 %

    vs.                       :  games (    +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    890 (    9,  745, 136),  42.9 :   -47.3,   3.7,    0.0
    Berserk 13                :    890 (   55,  790,  45),  50.6 :    +0.9,   3.7,   59.9
    RubiChess 20240817        :    890 (  126,  738,  26),  55.6 :   +47.1,   3.5,  100.0
    Ethereal 14.25            :    890 (  162,  705,  23),  57.8 :   +61.3,   3.6,  100.0
    Koivisto 9.0              :    890 (  253,  626,  11),  63.6 :  +100.6,   3.6,  100.0
    Rebel 16.3                :    890 (  268,  611,  11),  64.4 :  +107.2,   3.5,  100.0
    rofChade 3.1              :    890 (  281,  603,   6),  65.4 :  +118.5,   3.5,  100.0
    SlowChess 2.9             :    890 (  452,  435,   3),  75.2 :  +192.4,   3.6,  100.0
    Shredder 14               :    890 (  458,  430,   2),  75.6 :  +192.5,   3.7,  100.0
    Arasan 24.2.2             :    891 (  470,  414,   7),  76.0 :  +192.8,   3.4,  100.0
